model,n. 模型; 模范; 模特儿 a. 模范的; 作模型用的 vi. 做模型; 做模特儿 vt. 使模仿; 塑造 [计] 模型
object,n. 物体; 目标; 目的; 对象; 宾语; 客体 vi. 反对; 抱反感 vt. 提出...来反对 [计] 对象
table,n. 桌子; 餐桌; 工作台; 铭文; 表格; 表; 高原; 平地层 vt. 搁置; 嵌合; 制表; 把...列入议事日程 [计] 表格; 模拟运算表
page,n. 页; 记录; 事件; 专栏; 男侍 vt. 标明...的页数; 翻...的书页; 分页排版; 呼叫; 侍候 vi. 翻书页; 侍侯 [计] 页; 页面
training,n. 训练; 培养 [医] 训练
performance,n. 施行; 工作情况; 成绩; 行为; 表现; 演出 [电] 绩效; 性能
network,n. 网络; 广播网; 网状物 [计] 网络
label,n. 标签; 称号; 商标; 标志 vt. 贴标签于; 标注 [计] 标志; 标注; DOS外部命令:用于建立改变或删除磁盘卷标号
method,n. 方法; 办法; 条理; 秩序 [医] [方]法
regression,n. 退步; 回归 [计] 回归
speed,n. 速率; 速度; 迅速 vi. 加速; 超速; 快进 vt. 快速传送; 促进; 使加速 [计] 中央处理机速度设置程序
classification,n. 分类; 分级 [化] 分级; 分粒; 分类
detection,n. 发现; 察觉; 探测 [计] 检波; 检测
epoch,n. 新纪元; 时代; 时期
detector,n. 发现者; 检验器; 检波器 [计] 检波器; 检测器
improve,vt. 改良; 提高...的价值; 改善; 利用 vi. 变得更好; 增加
accuracy,n. 精确; 正确 [计] 准确度
block,n. 街区; 木块; 石块; 块 vt. 阻塞; 封锁; 使成块状 [计] 块; 数据块
computer,n. 电脑; 电子计算机 [计] 计算机
strategy,n. 战略; 策略 [经] 战略; 策略
experiment,n. 实验; 试验; 实验仪器 vi. 实验; 尝试
vision,n. 视觉; 眼光; 视力; 幻想 vt. 梦见; 想象; 显示
inference,n. 推论 [法] 推论; 推理; 推断
backbone,n. 脊椎; 志气; 骨干; 支柱 [计] 主干网; 主干网点
base,n. 底部; 垒; 基础; 基地 vt. 以...作基础 a. 卑鄙的; 低劣的 [计] 基准
input,n. 输入; 输入电路 vt. 输入 [计] 输入
comparison,n. 比较; 对照; 比喻 [经] 比较; 对比
series,n. 串联; 序列; 连续; 系列; 丛书; 套; 级数; 组 [计] 系列
function,n. 官能; 职务; 功能; 函数 vi. 活动; 运行; 行使职责 [计] 功能; 函数
border,n. 边缘; 边境; 边界; 花坛 vt. 在...上镶边; 接近 vi. 接界; 近似 [计] 边框
conference,n. 会议 [经] 会议; 讨论会; 协商会
anchor,n. 锚 vt. 抛锚停泊; 使固定 [计] 锚
channel,n. 海峡; 航道; 频道 vt. 引导; 在...上挖沟; 形成河道 [计] 信道; 通道
convolutional,[计] 卷积的 [医] 脑回的
figure,n. 数字; 价格; 图形; 形状 vt. 描绘; 表示; 演算; 认为 vi. 计算; 出现; 估计
compare,vt. 比较; 比喻; 对照 vi. 相比 n. 比较 [计] 比较
multi,[计] 多
denote,vt. 指示; 表示
focal,a. 焦点的; 在焦点上的 [医] 病灶的; 灶的
train,n. 火车; 列车; 行列; 长队; 一连串的后果; 顺序 vt. 训练; 教育; 对准 vi. 受训练; 锻炼
efficient,a. 有效率的; 能干的
improvement,n. 进步; 改善; 利用 [医] 改善; 好转; 进步
computation,n. 计算; 计数; 计算结果 [经] 计算; 估计; 计算法
feature,n. 面孔的一部分(如眼、口等); 特征; 容貌; 特色; 特写 vt. 是...的特色; 特写; 放映 vi. 起重要作用 [计] 特性
activation,n. 活化; 激活 [化] 活化; 活化作用; 激活; 激活作用
faster,[计] 加快
structure,n. 结构; 构造; 建筑物 vt. 构成; 组织
application,n. 应用; 申请; 志愿书; 应用程序 [计] 应用; 应用程序
scale,n. 刻度; 衡量; 比例; 比例尺; 数值范围; 等级; 规模; 天平; 秤; 鳞; 积垢 vt. 依比例决定; 攀登; 测量; 绘制; 刮鳞; 使生垢; 过秤 vi. 剥落; 生水垢; 重量为; 攀登; 衡量 [计] 刻度
architecture,n. 建筑学; 建筑式样 [计] 体系结构
assignment,n. 分配; 功课; 任务; 转让; 归因; 陈述 [计] 赋值
adopt,vt. 采用; 正式通过; 收养; 接受 [医] 采取
layer,n. 层; 产卵鸡; 放置者 vt. 分层堆积; 压植 [计] 层
processing,[计] 处理 [化] 加工
distribution,n. 分配 [计] 分布
